nonStereoSMILES,descriptors,alcoholic,burnt,citrus,earthy,green,mint,odorless,phenolic,spicy,sulfurous,sweet,woody
O=C(O)CO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)C(O)C(O)C(=O)O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
NC(Cc1ccccc1)C(=O)O,earthy;sweet,0,0,0,1,0,0,0,0,0,0,1,0
CC(O)CO,sweet,0,0,0,0,0,0,0,0,0,0,1,0
CC(C)C(N)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)c1ccc(O)cc1O,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
CC(C)c1cccc(O)c(=O)c1,phenolic;woody,0,0,0,0,0,0,0,1,0,0,0,1
O=C1NS(=O)(=O)c2ccccc21,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(CO)C(O)C(O)C(O)CO,sweet,0,0,0,0,0,0,0,0,0,0,1,0
CCC(C)C(N)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)c1ccco1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1CCC(C(C)C)C(OC(=O)c2ccccc2O)C1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCOC(=O)c1ccc(O)cc1,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
CC(=O)c1ccccc1N,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
Cc1cc2ccccc2o1,burnt;phenolic,0,1,0,0,0,0,0,1,0,0,0,0
COc1nccnc1CC(C)C,green,0,0,0,0,1,0,0,0,0,0,0,0
CCCC(O)Cc1ccccc1,earthy;green;sweet,0,0,0,1,1,0,0,0,0,0,1,0
CC1CCC(C(C)C)OC(=O)C1,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCC1=C(O)C(=O)CC1,alcoholic;burnt;sweet,1,1,0,0,0,0,0,0,0,0,1,0
C1SSCSSS1,earthy;sulfurous;woody,0,0,0,1,0,0,0,0,0,1,0,1
COC(=O)c1c(C)cc(O)c(C)c1O,earthy;phenolic;woody,0,0,0,1,0,0,0,1,0,0,0,1
CCCCc1ccccn1,green;sweet,0,0,0,0,1,0,0,0,0,0,1,0
CC(C)=CCc1occc1C,burnt;citrus;green;mint;sweet,0,1,1,0,1,1,0,0,0,0,1,0
CC(C)=CCCC1(C)C2CC3C(C2)C31C,sweet;woody,0,0,0,0,0,0,0,0,0,0,1,1
CCCCCCCCCC(=O)OCCCCCCC,alcoholic;sweet;woody,1,0,0,0,0,0,0,0,0,0,1,1
C=C1C(O)CC23CC1C(C)(C)C2CCC3C,earthy;sweet;woody,0,0,0,1,0,0,0,0,0,0,1,1
CCC1(O)C2(C)CCCC1(C)CC2,earthy;woody,0,0,0,1,0,0,0,0,0,0,0,1
CCC1=C(O)C(=O)CC1C,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCCCCCCC1OCC(C)O1,citrus;green;sweet;woody,0,0,1,0,1,0,0,0,0,0,1,1
CC(C)=CCCC(C)=CC1OCC(C)O1,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
CC1COC(C=Cc2ccccc2)O1,spicy;sweet,0,0,0,0,0,0,0,0,1,0,1,0
CC(C)C1CCC(C)(S)CC1=O,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CCCCCC(OCC)OCCC,citrus;green;sweet,0,0,1,0,1,0,0,0,0,0,1,0
Oc1ccccc1O,burnt;phenolic,0,1,0,0,0,0,0,1,0,0,0,0
OCC(O)C(O)C(O)C(O)CO,sweet,0,0,0,0,0,0,0,0,0,0,1,0
NC(CS)C(=O)O,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
O=C(O)CS,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
OCC(S)CS,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
CCCOC(=O)c1cc(O)c(O)c(O)c1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)C1CC(O)CN1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,0,0,0,0,0,0,0,0,0,0,1,0
O=C(O)CC(S)C(=O)O,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
CCc1ccccc1O,phenolic;sweet,0,0,0,0,0,0,0,1,0,0,1,0
c1ccc2nccnc2c1,burnt,0,1,0,0,0,0,0,0,0,0,0,0
c1ccc2sccc2c1,burnt;earthy;sulfurous,0,1,0,1,0,0,0,0,0,1,0,0
C1CCCCC1,sweet,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCCCCCCC,sweet,0,0,0,0,0,0,0,0,0,0,1,0
C=CCCCCCCCCCC,sweet,0,0,0,0,0,0,0,0,0,0,1,0
COc1ccccc1C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCc1cccs1,green,0,0,0,0,1,0,0,0,0,0,0,0
COc1ccc2ncccc2c1,sweet,0,0,0,0,0,0,0,0,0,0,1,0
CCCCCCCCCCCCCCCCCC(=O)OCC(C)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCCCCCCCCCCCCCCO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
COc1cccc2ccccc12,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
Cc1nc(C(C)C)oc1C,earthy;green,0,0,0,1,1,0,0,0,0,0,0,0
O=C1CCCC=C1O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CC1CC(=O)C(=O)C1C,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCCCCCCCCCCCCCCC(=O)OCC(C)C,odorless,0,0,0,0,0,0,1,0,0,0,0,0
Oc1ccc2c(c1)OCO2,phenolic;spicy,0,0,0,0,0,0,0,1,1,0,0,0
CC(C)CCOC(=O)c1ccco1,earthy;sweet,0,0,0,1,0,0,0,0,0,0,1,0
CC(=O)C(=O)c1ccc(C)o1,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCC(=O)S,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
CCCCCCCCCCCCCCCC(=O)OCCC,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(=O)OCC(OC(C)=O)C(OC(C)=O)C(OC(C)=O)C(C=O)OC(C)=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC12CCC(C1)C(C)(C)C2OC=O,green;woody,0,0,0,0,1,0,0,0,0,0,0,1
CCC(=O)Nc1ccccc1C(=O)OC,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
CC1=C(O)C(=O)C(O)CO1,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCOC1OC(CO)C(O)C(O)C1O,alcoholic,1,0,0,0,0,0,0,0,0,0,0,0
Cc1ccc2c(c1)C=CCC2(C)C,woody,0,0,0,0,0,0,0,0,0,0,0,1
CCCCCCCCCCCCCC(=O)OCCCCCC,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCCc1cccnc1,earthy;green,0,0,0,1,1,0,0,0,0,0,0,0
CC(C)=CCCC(C)CO,green;sweet,0,0,0,0,1,0,0,0,0,0,1,0
CCCCCCC(C)(C)S,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
CCCCCCc1nccnc1OC,green,0,0,0,0,1,0,0,0,0,0,0,0
C=CCCCCCC(=O)OCC,alcoholic;sweet;woody,1,0,0,0,0,0,0,0,0,0,1,1
CNc1ccccc1C(=O)OC(C)C,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
C1CSSSS1,earthy;sulfurous;woody,0,0,0,1,0,0,0,0,0,1,0,1
CC=CC=CC(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
C=C(C)CCOC(=O)C(C)CC,citrus;green;sweet,0,0,1,0,1,0,0,0,0,0,1,0
CCCCCCC(C=O)CC,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
COc1cc(C=CC=O)cc(OC)c1O,spicy;sweet,0,0,0,0,0,0,0,0,1,0,1,0
CC(=CCCC1(C)C2CC3C(C2)C31C)CO,spicy;woody,0,0,0,0,0,0,0,0,1,0,0,1
CC(C)=CCCC(C)=CC1OCC(CO)O1,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CC1CCC(C(C)C)C(OC(=O)CCC(=O)O)C1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=CCC1CCOC1=O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCCCNc1ccccc1C(=O)OC,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
CC(=CC=O)CCC1CC1(C)C,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CCNc1ccccc1C(=O)OC,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
CC(C)CC1N=CCS1,green,0,0,0,0,1,0,0,0,0,0,0,0
CCCCC(O)S,citrus;green;sweet,0,0,1,0,1,0,0,0,0,0,1,0
CNc1ccccc1C(=O)OCCc1ccccc1,citrus;sweet,0,0,1,0,0,0,0,0,0,0,1,0
CC=CC(=O)OCc1ccco1,earthy;woody,0,0,0,1,0,0,0,0,0,0,0,1
CCCCCC(OCC)OCCC(C)C,alcoholic;citrus;green;sweet;woody,1,0,1,0,1,0,0,0,0,0,1,1
O=C(O)CCC(=O)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
NCCC(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
NC(CC(=O)O)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(N)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)CCCC(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
NCC(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCC(O)CO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
NCCCCC(N)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CO,alcoholic,1,0,0,0,0,0,0,0,0,0,0,0
[N-]=[N+]=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
Cc1ccccc1,sweet,0,0,0,0,0,0,0,0,0,0,1,0
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Cl-].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(C)c1cccc(C(C)C)c1O,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
NC(Cc1ccc(O)c(O)c1)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
NC(Cc1ccc(O)cc1)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CS(C)(=O)=O,burnt;sulfurous,0,1,0,0,0,0,0,0,0,1,0,0
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Na+].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
NC(=O)CC(N)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
NC(Cc1cnc[nH]1)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCOC(=O)CC(CC(=O)OCC)(OC(C)=O)C(=O)OCC,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
CC1=C(O)C(=O)CC1,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CCOC(=O)c1ccccc1C(=O)OCC,odorless,0,0,0,0,0,0,1,0,0,0,0,0
Nc1nc(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCOC(=O)COC(=O)c1ccccc1C(=O)OCCCC,odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCC(O)C(O)C(O)CO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C1OC(CO)C(O)C(O)C1O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCc1ccc2c(c1)OCO2,spicy,0,0,0,0,0,0,0,0,1,0,0,0
CCCC(O)C(CC)CO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(C)(C)c1ccc(O)c(O)c1,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
COC(=O)c1ccc(O)cc1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1CCC(C(C)C)CC1,green;woody,0,0,0,0,1,0,0,0,0,0,0,1
CC(O)CC(C)(C)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(O)CCO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1COC(=O)O1,mint;spicy,0,0,0,0,0,1,0,0,1,0,0,0
CC(O)COCC(C)O,alcoholic,1,0,0,0,0,0,0,0,0,0,0,0
OCCOCCO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCOC(=O)c1ccc(O)cc1,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
CC=Cc1ccc2c(c1)OCO2,spicy;sweet,0,0,0,0,0,0,0,0,1,0,1,0
COC(=O)c1ccccc1C(=O)OC,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(C)(CO)C(O)C(=O)NCCC(=O)[O-].CC(C)(CO)C(O)C(=O)NCCC(=O)[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])CC(O)C(=O)[O-].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)O)CC(=O)O.[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
C1CNCCN1.O=C(O)CCCCC(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])CCC(=O)[O-].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])C(O)C(O)C(O)C(O)CO.O=C([O-])C(O)C(O)C(O)C(O)CO.[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
C=CCc1cc2c(c(OC)c1OC)OCO2,spicy;woody,0,0,0,0,0,0,0,0,1,0,0,1
Cc1cc(C)c(O)cc1C,phenolic,0,0,0,0,0,0,0,1,0,0,0,0
O=C([O-])[O-].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(C)C1=CC(=O)C(C)CC1,mint,0,0,0,0,0,1,0,0,0,0,0,0
C=C1C2CCC(C2)C1(C)CCC=C(C)C,woody,0,0,0,0,0,0,0,0,0,0,0,1
CC(=O)c1c(O)oc(C)cc1=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1=CCC2C(C)=CCC(C(C)C)C2C1,green;woody,0,0,0,0,1,0,0,0,0,0,0,1
COc1cc(C=CC(=O)O)cc(OC)c1O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,odorless,0,0,0,0,0,0,1,0,0,0,0,0
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])[O-].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])[O-].[K+].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1CC=CCC1,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CC1C=CCCC1,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CC1=CCCCC1,citrus,0,0,1,0,0,0,0,0,0,0,0,0
Cc1cc(C)c(C)c(O)c1,woody,0,0,0,0,0,0,0,0,0,0,0,1
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(O)C(=O)[O-].CC(O)C(=O)[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[K+].[K+].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C([O-])C(O)C(O)C(=O)[O-].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CCCCCCCCCCCCOC(=O)c1cc(O)c(O)c(O)c1,odorless,0,0,0,0,0,0,1,0,0,0,0,0
N.O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Fe+3],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])OC(CCO)CCO.O=P([O-])([O-])OCC(O)CO.[Fe+2].[Fe+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Ca],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Mg],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Zn],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[V](=O)O[V](=O)=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Cu],odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Ca+2].[Ca+2].[O-][Si]([O-])([O-])[O-],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1(C(=O)O)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,spicy,0,0,0,0,0,0,0,0,1,0,0,0
CC=CC(C)O,green,0,0,0,0,1,0,0,0,0,0,0,0
CCCCCCC1OCC(CO)O1,earthy;green;sweet,0,0,0,1,1,0,0,0,0,0,1,0
CCCCOC(=O)c1ccccc1O,green,0,0,0,0,1,0,0,0,0,0,0,0
CC1CCCC(C)(C)C1,green;sweet,0,0,0,0,1,0,0,0,0,0,1,0
CC(O)C(O)C(O)C(O)C=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=c1nc[nH]c2c1ncn2C1OC(COP(=O)([O-])[O-])C(O)C1O.[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC1SCCCS1,sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
O.O=S1(=O)N=C([O-])c2ccccc21.O=S1(=O)N=C([O-])c2ccccc21.[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
Cl.NC(CS)C(=O)O.O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
[He],odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Zn],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
NC(CCC(=O)[O-])C(=O)O.[NH4+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])O.[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC8C(CO)OC(OC1C(O)C2O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])[O-].[Na+].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Si]=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[N+]([O-])[O-].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].[Fe+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[N+]([O-])[O-].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Mg+2].[Mg+2].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].[Ca+2].[Ca+2].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
N.N.O=S(=O)(O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
[Ca+2].[O-][I+2]([O-])[O-].[O-][I+2]([O-])[O-],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=P([O-])([O-])OP(=O)([O-])[O-].[Ca+2].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O.O.O.O.O.O.[Cl-].[Cl-].[Co+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
COc1cc(CCCS(=O)(=O)[O-])ccc1OC(Cc1cccc(OC)c1O)CS(=O)(=O)[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
CC(=O)O.O=CC(O)C(O)C(O)C(O)CO,odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCC1OC2OC3C(CO)OC(OC4C(CO)OC(OC5C(CO)OC(OC6C(CO)OC(OC7C(CO)OC(OC1C(O)C2O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O.O.O=S(=O)([O-])[O-].[Ca+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S([O-])[O-].[K+].[K+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=C(O)c1ccccc1O.OCCN(CCO)CCO,sweet,0,0,0,0,0,0,0,0,0,0,1,0
[Cl-].[NH4+],odorless,0,0,0,0,0,0,1,0,0,0,0,0
[NH4+].[NH4+].[S-2],sulfurous,0,0,0,0,0,0,0,0,0,1,0,0
O=[Ti]=O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=[Si]([O-])O.O=[Si]([O-])O.O=[Si]([O-])[O-].O=[Si]([O-])[O-].[Mg+2].[Mg+2].[Mg+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
COc1ccc(CCC(=O)c2c(O)cc(OC3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)cc2O)cc1O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
O=S(=O)([O-])c1ccc(O)cc1.O=S(=O)([O-])c1ccc(O)cc1.[Zn+2],odorless,0,0,0,0,0,0,1,0,0,0,0,0
OCCCOCCCO,alcoholic,1,0,0,0,0,0,0,0,0,0,0,0
CC=CCCCCCC,citrus,0,0,1,0,0,0,0,0,0,0,0,0
CCC1OC(C)=C(O)C1=O,burnt;sweet,0,1,0,0,0,0,0,0,0,0,1,0
CC(C)=CCC(=O)c1ccoc1,mint,0,0,0,0,0,1,0,0,0,0,0,0
Cl.NC(CS)C(=O)O,odorless,0,0,0,0,0,0,1,0,0,0,0,0
